,county,state,date,latitude,longitude,season,temperature_high,temperature_low,cloud_cover,precip_intensity,visibility,conditions,wind_speed,Precip Intensity Groups,Visibility Classification (mi),Cloud Cover Classification (%)
225,Preble County,Ohio,1977-05-18,39.70042,-84.62567,Spring,87.9,65.3,35.9,0.098,5.6,"Rain, Partially cloudy",12.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
226,Portage County,Ohio,1962-06-06,41.30265,-81.30896,Unknown,87.9,65.3,35.9,0.098,5.6,"Rain, Partially cloudy",12.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
228,Perry County,Ohio,1978-06-01,39.78594,-82.29162,Summer,88.5,57.5,38.0,0.0,8.6,Partially cloudy,9.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
229,Ottawa County,Ohio,1974-04-20,41.48962,-83.06977,Spring,71.0,28.5,29.5,0.0,12.1,Partially cloudy,14.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
230,Noble County,Ohio,1958-01-15,39.63382,-81.40079,Winter,71.0,28.5,29.5,0.0,12.1,Partially cloudy,14.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
231,Muskingum County,Ohio,1995-03-11,40.04603,-82.14536,Spring,61.9,27.0,11.5,0.0,13.3,Clear,16.0,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
233,Montgomery County,Ohio,1988-09-14,39.61205,-84.36754,Fall,76.9,54.5,4.4,0.0,10.5,Clear,6.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
234,Monroe County,Ohio,1994-02-15,39.75531,-81.02917,Winter,49.3,34.8,42.0,0.0,12.5,Partially cloudy,15.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
235,Miami County,Ohio,2000-09-01,39.9784,-84.1735,Summer,86.1,68.4,53.4,0.071,8.6,"Rain, Partially cloudy",11.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
236,Medina County,Ohio,1976-09-01,41.02572,-81.77677,Fall,72.6,61.1,83.9,0.008,7.6,"Rain, Partially cloudy",12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
238,Madison County,Ohio,2003-02-18,39.96627,-83.51394,Winter,29.0,23.1,99.6,0.007,6.6,"Snow, Overcast",16.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
239,Lorain County,Ohio,1967-07-01,41.38274,-82.12263,Summer,29.0,23.1,99.6,0.007,6.6,"Snow, Overcast",16.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
240,Lorain County,Ohio,1985-08-15,41.40985,-82.11172,Summer,82.9,67.0,94.1,0.657,5.8,"Rain, Overcast",17.2,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
241,Lorain County,Ohio,1987-10-15,41.27939,-82.21939,Fall,67.7,40.2,34.7,0.0,16.2,Partially cloudy,9.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
242,Mahoning County,Ohio,1998-07-01,41.05304,-80.51186,Summer,76.0,60.0,50.3,0.0,8.7,Partially cloudy,17.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
243,Mahoning County,Ohio,2001-09-30,41.09087,-80.77592,Fall,65.9,39.8,8.6,0.0,9.9,Clear,13.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
244,Mahoning County,Ohio,2006-04-01,41.12884,-80.85832,Spring,59.7,43.0,99.8,0.046,8.7,"Rain, Overcast",19.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
245,Mahoning County,Ohio,2009-08-12,40.95818,-80.97507,Summer,80.2,64.9,51.8,0.001,7.7,"Rain, Partially cloudy",10.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
246,Mahoning County,Ohio,2012-03-24,41.11447,-80.14099,Spring,64.2,56.4,85.0,0.507,8.3,"Rain, Partially cloudy",8.3,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
247,Mahoning County,Ohio,2013-11-12,40.94825,-80.69776,Fall,31.6,26.4,77.9,0.097,6.6,"Snow, Rain, Partially cloudy",13.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
248,Mahoning County,Ohio,2021-07-17,40.91197,-80.70913,Summer,74.8,63.0,92.7,0.821,8.2,"Rain, Overcast",13.9,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
249,Medina County,Ohio,1978-09-30,41.09302,-81.82391,Fall,78.1,53.4,49.0,1.036,4.9,"Rain, Partially cloudy",19.2,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
250,Medina County,Ohio,1992-09-20,41.12012,-81.81317,Fall,71.0,47.0,45.4,0.0,17.3,Partially cloudy,11.1,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
251,Medina County,Ohio,2000-10-01,41.06019,-81.79669,Fall,71.9,52.7,55.8,0.0,8.3,Partially cloudy,14.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
252,Medina County,Ohio,2001-09-25,41.06648,-81.96419,Fall,49.6,43.3,99.6,0.54,8.9,"Rain, Overcast",14.5,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
253,Medina County,Ohio,2003-05-01,41.03,-82.0101,Spring,79.8,58.2,50.9,0.192,6.9,"Rain, Partially cloudy",19.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
254,Medina County,Ohio,2013-04-13,41.11417,-82.07824,Spring,43.6,36.2,95.7,0.019,9.8,"Rain, Overcast",18.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
255,Medina County,Ohio,2013-06-25,41.22248,-81.91616,Summer,87.8,70.6,62.4,2.026,8.9,"Rain, Partially cloudy",21.7,violent: >2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
256,Medina County,Ohio,2021-08-14,40.9994,-81.71439,Summer,79.9,62.9,54.1,0.124,9.6,"Rain, Partially cloudy",12.5,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
257,Miami County,Ohio,2003-09-03,39.89172,-84.14493,Fall,77.6,66.5,74.1,0.0,6.5,Partially cloudy,10.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
258,Miami County,Ohio,2009-02-06,40.04342,-84.04518,Winter,42.5,18.2,7.1,0.0,9.9,Clear,10.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
260,Montgomery County,Ohio,2004-08-15,39.8494,-84.15971,Summer,74.0,51.2,40.8,0.0,7.9,Partially cloudy,12.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
261,Montgomery County,Ohio,2005-02-15,39.63662,-84.36874,Winter,64.1,37.5,25.5,0.0,9.2,Partially cloudy,18.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
263,Morrow County,Ohio,1978-01-01,40.4764,-82.80257,Winter,36.6,29.5,99.4,0.138,5.1,"Snow, Rain, Overcast",22.1,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
264,Morrow County,Ohio,1978-06-20,40.46339,-82.82576,Summer,83.0,60.1,43.6,0.0,7.9,Partially cloudy,12.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
265,Morrow County,Ohio,2002-08-15,40.5896,-82.82214,Summer,84.2,70.0,63.6,0.169,6.7,"Rain, Partially cloudy",16.0,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
266,Morrow County,Ohio,2005-01-13,40.50945,-82.87663,Winter,62.6,33.5,61.1,0.704,8.1,"Snow, Rain, Partially cloudy",25.6,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
268,Muskingum County,Ohio,2003-07-26,39.90416,-81.98721,Summer,84.8,57.9,7.2,0.011,6.0,Rain,11.8,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
269,Muskingum County,Ohio,2015-12-01,40.01209,-82.13298,Fall,59.6,45.2,92.8,0.293,5.5,"Rain, Overcast",10.4,moderate: 0.1 to 0.3,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
270,Noble County,Ohio,1977-02-01,39.88653,-81.27132,Winter,18.8,10.1,71.9,0.0,9.9,Partially cloudy,16.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
271,Noble County,Ohio,1982-06-19,39.64081,-81.47081,Summer,73.7,54.4,76.8,0.039,3.6,"Rain, Partially cloudy",11.9,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Cloudy: 62.5 to 87.5
273,Perry County,Ohio,2003-05-11,39.64193,-82.1013,Spring,73.3,57.6,70.7,0.059,9.2,"Rain, Partially cloudy",26.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
274,Perry County,Ohio,2020-02-15,39.63255,-82.26463,Fall,37.9,11.3,10.6,0.0,9.9,Clear,12.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
275,Perry County,Ohio,2020-10-31,39.59607,-82.35291,Fall,54.3,26.9,2.6,0.01,9.7,"Snow, Rain",7.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
277,Pike County,Ohio,2013-06-01,39.0895,-82.8342,Summer,84.1,66.3,38.7,0.122,9.2,"Rain, Partially cloudy",12.6,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
280,Portage County,Ohio,1976-08-01,41.31405,-81.38112,Summer,71.4,59.3,42.6,0.0,18.0,Partially cloudy,15.5,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
281,Portage County,Ohio,1983-07-31,41.06499,-81.3741,Summer,82.0,72.0,89.4,1.507,3.7,"Rain, Partially cloudy",16.6,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
282,Portage County,Ohio,1986-04-16,41.15845,-81.33134,Spring,41.2,31.6,96.0,0.119,7.3,"Snow, Rain, Overcast",13.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
283,Portage County,Ohio,1986-07-15,41.18518,-81.03764,Summer,80.5,54.6,17.1,0.0,15.9,Clear,8.1,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
284,Portage County,Ohio,1987-07-01,41.16187,-81.37181,Summer,68.8,63.7,100.0,0.753,3.3,"Rain, Overcast",11.0,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
285,Portage County,Ohio,1994-02-12,41.15384,-81.1124,Winter,36.6,17.9,87.1,0.017,8.7,"Snow, Rain, Partially cloudy",13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
286,Portage County,Ohio,1995-10-01,41.2599,-81.1455,Fall,77.9,54.4,26.1,0.0,9.6,Partially cloudy,19.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
287,Portage County,Ohio,1997-04-15,41.17646,-81.32425,Spring,56.3,35.6,46.9,0.0,11.5,Partially cloudy,12.3,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
289,Portage County,Ohio,2000-08-01,40.98596,-81.11642,Summer,80.6,67.6,73.3,0.041,6.6,"Rain, Partially cloudy",13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
290,Portage County,Ohio,2003-10-10,41.13356,-81.17155,Fall,72.0,57.9,92.5,0.037,7.8,"Rain, Overcast",7.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
291,Portage County,Ohio,2003-11-02,41.3235,-81.22745,Fall,72.9,54.4,82.3,0.0,6.9,Partially cloudy,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
292,Portage County,Ohio,2008-06-11,41.05931,-81.3654,Summer,82.8,58.7,17.3,0.0,9.9,Clear,8.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
296,Portage County,Ohio,2011-08-17,41.06194,-81.36305,Summer,82.3,54.7,8.5,0.0,9.9,Clear,9.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
297,Preble County,Ohio,1978-09-01,39.64146,-84.48506,Fall,76.0,53.1,35.3,0.333,8.2,"Rain, Partially cloudy",7.3,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
298,Preble County,Ohio,2012-11-15,39.65361,-84.66399,Fall,46.8,23.1,0.0,0.0,7.4,Clear,4.7,light: 0 to 0.1,Clear: 6.21 to 12.43,
299,Preble County,Ohio,2014-06-07,39.65625,-84.51192,Spring,80.9,54.6,3.6,0.0,9.8,Clear,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
301,Richland County,Ohio,1958-11-01,40.92276,-82.44401,Winter,80.9,54.6,3.6,0.0,9.8,Clear,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
303,Richland County,Ohio,1998-09-01,40.61236,-82.48699,Fall,79.1,54.4,28.7,0.0,9.9,Partially cloudy,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
306,Licking County,Ohio,1968-08-01,40.00915,-82.67252,Summer,29.0,23.1,99.6,0.007,6.6,"Snow, Overcast",16.7,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
307,Lawrence County,Ohio,1980-08-25,38.54852,-82.66616,Summer,84.8,65.0,46.3,0.0,6.4,Partially cloudy,5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
308,Lake County,Ohio,1981-07-01,41.7164,-81.1438,Summer,81.4,67.9,70.6,0.0,6.5,Partially cloudy,17.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
309,Knox County,Ohio,2018-01-05,40.36462,-82.24197,Winter,11.0,-1.3,54.9,0.0,9.2,Partially cloudy,13.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
310,Jefferson County,Ohio,1978-12-01,40.34042,-80.64211,Winter,46.0,19.1,17.6,0.0,10.9,Clear,9.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
311,Huron County,Ohio,1999-08-01,41.0672,-82.41861,Summer,83.4,68.1,45.8,0.0,7.9,Partially cloudy,11.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
312,Holmes County,Ohio,1997-07-03,40.59935,-82.23988,Summer,76.5,63.8,41.9,0.098,10.4,"Rain, Partially cloudy",18.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
313,Hocking County,Ohio,1979-05-01,39.48219,-82.32669,Spring,58.3,35.2,10.4,0.0,13.3,Clear,8.8,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
314,Harrison County,Ohio,1998-05-30,40.33345,-81.26559,Spring,82.2,61.9,57.7,0.067,6.6,"Rain, Partially cloudy",9.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
315,Hardin County,Ohio,2002-07-18,40.6445,-83.6118,Summer,88.7,70.4,13.8,0.039,4.0,Rain,11.2,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
316,Hancock County,Ohio,1994-06-01,41.14896,-83.43667,Summer,72.5,53.0,24.3,0.0,13.5,Partially cloudy,22.9,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
317,Hamilton County,Ohio,2013-10-12,39.26903,-84.25986,Fall,77.7,47.6,1.7,0.003,7.7,Rain,4.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
318,Greene County,Ohio,1988-05-07,39.745,-83.825,Spring,79.1,42.3,47.9,0.0,13.5,Partially cloudy,6.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
321,Gallia County,Ohio,1998-05-25,38.79833,-82.54968,Summer,74.9,64.1,32.8,0.012,6.7,"Rain, Partially cloudy",9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
322,Gallia County,Ohio,1998-09-03,38.79381,-82.55177,Summer,86.1,57.8,14.2,0.0,7.9,Clear,5.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
323,Gallia County,Ohio,2011-02-22,38.9264,-82.14285,Winter,34.7,29.5,100.0,0.013,7.7,"Snow, Rain, Overcast",9.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
325,Geauga County,Ohio,1978-02-05,41.44442,-81.20629,Winter,21.0,10.2,98.8,0.083,3.7,"Snow, Overcast",13.0,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
326,Geauga County,Ohio,1980-08-15,41.47349,-81.3726,Summer,73.5,65.5,95.6,0.092,10.6,"Rain, Overcast",11.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
327,Geauga County,Ohio,2001-10-26,41.39803,-81.33974,Spring,44.0,34.8,99.8,0.189,8.7,"Snow, Rain, Overcast",26.0,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
328,Geauga County,Ohio,2002-08-04,41.5325,-81.1351,Summer,90.1,63.0,58.3,0.006,8.8,"Rain, Partially cloudy",8.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
329,Geauga County,Ohio,2004-07-01,41.5621,-81.22853,Summer,81.4,63.0,20.1,0.0,8.4,Partially cloudy,13.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
330,Geauga County,Ohio,2005-02-24,41.57231,-81.22075,Winter,26.0,19.9,91.6,0.041,7.9,"Snow, Overcast",13.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
331,Geauga County,Ohio,2005-08-14,41.50086,-81.28275,Summer,75.5,69.0,87.7,0.194,6.9,"Rain, Partially cloudy",11.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
332,Geauga County,Ohio,2006-08-04,41.38199,-81.27506,Summer,82.6,69.5,41.1,0.002,9.7,"Rain, Partially cloudy",11.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
334,Greene County,Ohio,2013-03-16,39.6543,-83.7278,Winter,54.9,34.8,75.1,0.132,7.3,"Rain, Partially cloudy",17.8,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
336,Guernsey County,Ohio,1998-10-15,40.17699,-81.63656,Fall,64.5,39.3,43.3,0.0,13.2,Partially cloudy,11.4,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Partly Cloudy/Sunny: 25 to 62.5
337,Guernsey County,Ohio,1999-08-01,39.95329,-81.39827,Summer,86.9,73.1,70.2,0.387,8.9,"Rain, Partially cloudy",11.6,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
339,Guernsey County,Ohio,2004-04-17,40.0799,-81.49697,Spring,79.0,47.3,12.9,0.0,9.6,Clear,15.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
340,Guernsey County,Ohio,2004-08-17,39.92781,-81.61014,Summer,77.3,52.8,18.8,0.012,6.0,Rain,8.4,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Mostly Sunny: 6.25 to 25
342,Guernsey County,Ohio,2005-08-12,40.1138,-81.5518,Summer,92.3,68.7,5.3,0.0,5.5,Clear,11.2,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Sunny: 0 to 6.25
343,Guernsey County,Ohio,2006-07-28,40.11632,-81.52101,Summer,81.4,72.3,70.1,0.098,9.0,"Rain, Partially cloudy",11.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
344,Guernsey County,Ohio,2010-07-18,40.11682,-81.4936,Summer,87.6,69.8,34.9,0.369,9.2,"Rain, Partially cloudy",12.4,heavy: 0.3 to 2,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
345,Guernsey County,Ohio,2013-05-05,40.10348,-81.50933,Spring,73.4,49.6,0.6,0.0,9.9,Clear,13.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Sunny: 0 to 6.25
346,Guernsey County,Ohio,2013-06-17,40.12719,-81.50403,Summer,81.8,64.8,44.2,0.07,8.1,"Rain, Partially cloudy",7.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
347,Guernsey County,Ohio,2017-02-12,40.14003,-81.49033,Winter,53.5,36.8,77.5,0.234,7.3,"Rain, Partially cloudy",20.8,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
349,Guernsey County,Ohio,2021-07-06,40.01452,-81.34529,Fall,89.7,70.6,10.5,0.0,9.3,Clear,9.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
350,Hardin County,Ohio,2004-03-25,40.6559,-83.9374,Spring,64.6,51.9,97.6,0.075,9.9,"Rain, Overcast",20.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
351,Harrison County,Ohio,2000-10-01,40.42655,-81.25576,Fall,71.6,48.6,36.2,0.0,6.0,Partially cloudy,8.3,light: 0 to 0.1,Light Haze: 2.48 to 6.21,Partly Cloudy/Sunny: 25 to 62.5
352,Harrison County,Ohio,2004-07-18,40.42687,-81.2558,Summer,75.3,60.8,74.4,0.089,6.8,"Rain, Partially cloudy",9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
354,Harrison County,Ohio,2012-03-19,40.24786,-81.15179,Spring,77.5,54.3,48.0,0.216,8.7,"Rain, Partially cloudy",5.7,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
355,Harrison County,Ohio,2020-02-06,40.16912,-80.62003,Summer,41.0,33.2,98.0,0.433,2.9,"Snow, Rain, Overcast",12.7,heavy: 0.3 to 2,Light Haze: 2.48 to 6.21,Cloudy/Overcast: 87.5 to 100
356,Harrison County,Ohio,2020-02-16,40.26059,-81.22332,Summer,40.0,27.6,70.1,0.0,9.9,Partially cloudy,6.2,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
358,Harrison County,Ohio,2020-02-29,40.40611,-81.13733,Fall,31.8,19.5,37.5,0.0,9.8,Partially cloudy,17.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
360,Harrison County,Ohio,2021-02-03,40.40192,-81.08803,Fall,28.2,14.1,64.2,0.0,9.9,Partially cloudy,14.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
361,Hocking County,Ohio,1980-10-31,39.39935,-82.52238,Fall,58.5,32.7,12.9,0.0,13.3,Clear,17.6,light: 0 to 0.1,Very Clear: 12.43 to 31.06,Mostly Sunny: 6.25 to 25
362,Hocking County,Ohio,2000-07-11,39.58157,-82.36887,Summer,81.4,67.6,65.0,0.0,7.3,Partially cloudy,9.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
364,Hocking County,Ohio,2017-06-25,39.56573,-82.49833,Summer,75.2,54.8,15.1,0.0,9.9,Clear,16.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
365,Hocking County,Ohio,2017-08-13,39.57143,-82.49968,Summer,79.4,54.2,9.1,0.0,8.9,Clear,6.4,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
366,Holmes County,Ohio,2012-06-21,40.61286,-82.17295,Summer,89.2,70.8,11.1,0.0,9.8,Clear,15.0,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
367,Holmes County,Ohio,2012-06-28,40.61286,-82.17295,Summer,96.9,63.2,12.0,0.0,9.8,Clear,14.8,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Sunny: 6.25 to 25
369,Holmes County,Ohio,2013-05-27,40.59307,-82.14194,Spring,60.4,44.3,50.8,0.089,9.7,"Rain, Partially cloudy",12.6,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
370,Holmes County,Ohio,2013-08-24,40.60291,-82.16943,Summer,78.9,51.8,0.0,0.0,9.6,Clear,7.7,light: 0 to 0.1,Clear: 6.21 to 12.43,
371,Huron County,Ohio,2015-08-24,41.06939,-82.36591,Summer,73.9,54.9,47.6,0.107,9.9,"Rain, Partially cloudy",14.3,moderate: 0.1 to 0.3,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
372,Jefferson County,Ohio,1981-11-01,40.36957,-80.77387,Fall,66.1,41.4,68.0,0.0,8.1,Partially cloudy,7.5,light: 0 to 0.1,Clear: 6.21 to 12.43,Mostly Cloudy: 62.5 to 87.5
373,Jefferson County,Ohio,1987-08-07,40.54269,-80.89606,Fall,85.2,63.5,26.8,0.0,8.2,Partially cloudy,7.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
374,Jefferson County,Ohio,1988-12-31,40.2831,-80.78826,Winter,38.2,25.8,36.7,0.0,10.2,Partially cloudy,9.9,light: 0 to 0.1,Clear: 6.21 to 12.43,Partly Cloudy/Sunny: 25 to 62.5
375,Jefferson County,Ohio,1997-09-30,40.39103,-80.6937,Fall,64.2,56.4,91.2,0.051,9.9,"Rain, Overcast",22.1,light: 0 to 0.1,Clear: 6.21 to 12.43,Cloudy/Overcast: 87.5 to 100
